Prior ID,Heterogeneity statistic,Data Type,Effect Measure,Distribution form,Type of Intervention,Nature of Outcome,Medical area,Average Sample Size,Mean,SD,Median,2.5% Quantile,97.5% Quantile,Notes,Reference
518,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Obstetric,Any (excluding cancer and respiratory diseases),>50,-0.02,1.73,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
519,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Resource use/hospital stay/process,Any (excluding cancer and respiratory diseases),>50,0.41,2.53,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
520,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Internal/external structure related outcomes,Any (excluding cancer and respiratory diseases),>50,0.88,2.05,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
521,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Any (excluding cancer and respiratory diseases),>50,0.3,2.13,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
522,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Any (excluding cancer and respiratory diseases),>50,0.56,2.03,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
523,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Mental health indicators,Any (excluding cancer and respiratory diseases),>50,0.46,1.71,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
524,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Biological markers,Any (excluding cancer and respiratory diseases),>50,0.13,2.46,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
525,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Subjective,Any (excluding cancer and respiratory diseases),>50,1.13,2.33,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
526,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Obstetric,Cancer,<50,0.33,1.91,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
527,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Resource use/hospital stay/process,Cancer,<50,0.76,2.6,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
528,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Internal/external structure related outcomes,Cancer,<50,1.23,2.15,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
529,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Cancer,<50,0.65,2.21,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
530,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,<50,0.91,2.15,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
531,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Mental health indicators,Cancer,<50,0.81,1.87,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
532,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Biological markers,Cancer,<50,0.48,2.56,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
533,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Subjective,Cancer,<50,1.48,2.36,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
534,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Obstetric,Cancer,<50,-0.22,1.84,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
535,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Resource use/hospital stay/process,Cancer,<50,0.21,2.55,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
536,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Internal/external structure related outcomes,Cancer,<50,0.68,2.14,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
537,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Cancer,<50,0.1,2.19,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
538,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,<50,0.36,2.14,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
539,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Mental health indicators,Cancer,<50,0.26,1.81,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
540,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Biological markers,Cancer,<50,-0.07,2.5,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
541,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Subjective,Cancer,<50,0.93,2.29,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
542,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Obstetric,Cancer,<50,0.29,1.86,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
543,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Resource use/hospital stay/process,Cancer,<50,0.72,2.61,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
544,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Internal/external structure related outcomes,Cancer,<50,1.19,2.16,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
545,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Cancer,<50,0.61,2.22,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
546,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,<50,0.87,2.13,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
547,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Mental health indicators,Cancer,<50,0.77,1.83,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
548,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Biological markers,Cancer,<50,0.44,2.54,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
549,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Subjective,Cancer,<50,1.45,2.33,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
550,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Obstetric,Cancer,>50,1.08,1.91,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
551,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Resource use/hospital stay/process,Cancer,>50,1.51,2.6,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
552,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Internal/external structure related outcomes,Cancer,>50,1.98,2.15,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
553,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Cancer,>50,1.39,2.21,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
554,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,>50,1.66,2.15,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
555,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Mental health indicators,Cancer,>50,1.56,1.87,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
556,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Biological markers,Cancer,>50,1.23,2.56,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
557,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Subjective,Cancer,>50,2.23,2.36,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
558,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Obstetric,Cancer,>50,0.52,1.84,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
559,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Resource use/hospital stay/process,Cancer,>50,0.96,2.25,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
560,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Internal/external structure related outcomes,Cancer,>50,1.42,2.14,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
561,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Cancer,>50,0.84,2.19,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
562,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,>50,1.11,2.14,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
563,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Mental health indicators,Cancer,>50,1.01,1.81,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
564,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Biological markers,Cancer,>50,0.68,2.5,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
565,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Subjective,Cancer,>50,1.68,2.29,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
566,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Obstetric,Cancer,>50,1.04,1.85,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
567,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Resource use/hospital stay/process,Cancer,>50,1.47,2.61,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
568,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Internal/external structure related outcomes,Cancer,>50,1.94,2.15,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
569,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Cancer,>50,1.36,2.22,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
570,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Cancer,>50,1.62,2.13,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
571,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Mental health indicators,Cancer,>50,-1.52,1.83,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
572,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Biological markers,Cancer,>50,1.19,2.54,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
573,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Subjective,Cancer,>50,2.19,2.32,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
574,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Obstetric,Respiratory disease,<50,-1.82,1.81,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
575,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Resource use/hospital stay/process,Respiratory disease,<50,-1.39,2.54,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
576,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Internal/external structure related outcomes,Respiratory disease,<50,-0.92,2.05,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
577,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,<50,-1.5,2.13,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
578,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,<50,-1.24,2.06,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
579,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Mental health indicators,Respiratory disease,<50,-1.34,1.77,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
580,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Biological markers,Respiratory disease,<50,-1.67,2.46,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
581,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs placebo/control,Subjective,Respiratory disease,<50,-0.66,2.28,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
582,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Obstetric,Respiratory disease,<50,-2.37,1.73,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
583,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Resource use/hospital stay/process,Respiratory disease,<50,-1.94,2.48,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
584,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Internal/external structure related outcomes,Respiratory disease,<50,-1.47,2.03,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
585,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,<50,-2.05,2.1,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
586,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,<50,-1.79,2.05,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
587,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Mental health indicators,Respiratory disease,<50,-1.89,1.7,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
588,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Biological markers,Respiratory disease,<50,-2.22,2.42,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
589,I-squared,Continuous,Mean difference,Logit-t,Pharmacological vs pharmacological,Subjective,Respiratory disease,<50,-1.21,2.28,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
590,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Obstetric,Respiratory disease,<50,-1.85,1.75,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
591,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Resource use/hospital stay/process,Respiratory disease,<50,-1.42,2.55,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
592,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Internal/external structure related outcomes,Respiratory disease,<50,-0.95,2.06,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
593,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Physical health/adverse event/pain/quality of life/functioning,Respiratory disease,<50,-1.54,2.14,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
594,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Signs/symptoms reflecting continuation/end of condition and infection/onset of new acute/chronic disease,Respiratory disease,<50,-1.27,2.05,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
595,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Mental health indicators,Respiratory disease,<50,-1.37,1.73,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
596,I-squared,Continuous,Mean difference,Logit-t,Non-pharmacological vs any,Biological markers,Respiratory disease,<50,-1.7,2.47,None,None,None,None ,"Rhodes, Kirsty M., Rebecca M. Turner, and Julian PT Higgins. ""Empirical evidence about inconsistency among studies in a pair-wise meta-analysis."" Research Synthesis Methods 7, no. 4 (2016): 346-370."
